image_id,a,b,c,d,true_label,unicode
26,991.0,163.0,48.0,48.0,草,U+8349
26,1237.0,1003.0,54.0,80.0,靡,U+9761
26,748.0,312.0,53.0,67.0,靡,U+9761
26,1144.0,152.0,67.0,53.0,固,U+56FA
26,744.0,164.0,54.0,57.0,固,U+56FA
26,1156.0,213.0,52.0,46.0,神,U+795E
26,1148.0,261.0,57.0,35.0,功,U+529F
26,925.0,485.0,64.0,42.0,功,U+529F
26,1156.0,335.0,51.0,36.0,相,U+76F8
26,1153.0,372.0,60.0,71.0,符,U+7B26
26,1143.0,468.0,71.0,81.0,彼,U+5F7C
26,1084.0,271.0,62.0,51.0,彼,U+5F7C
26,1151.0,544.0,47.0,21.0,百,U+767E
26,1150.0,632.0,56.0,61.0,麗,U+9E97
26,1162.0,697.0,46.0,55.0,出,U+51FA
26,1148.0,803.0,45.0,47.0,此,U+6B64
26,1089.0,399.0,59.0,48.0,此,U+6B64
26,745.0,228.0,44.0,27.0,此,U+6B64
26,1147.0,902.0,46.0,42.0,姓,U+59D3
26,1154.0,964.0,39.0,41.0,在,U+5728
26,749.0,484.0,52.0,58.0,在,U+5728
26,1162.0,1014.0,46.0,51.0,下,U+4E0B
26,960.0,699.0,38.0,49.0,下,U+4E0B
26,1082.0,202.0,61.0,65.0,援,U+63F4
26,1085.0,359.0,56.0,36.0,喩,U+55A9
26,994.0,1019.0,65.0,66.0,喩,U+55A9
26,1091.0,542.0,49.0,74.0,常,U+5E38
26,1062.0,653.0,79.0,37.0,也,U+4E5F
26,1085.0,696.0,68.0,46.0,偃,U+5043
26,987.0,214.0,52.0,50.0,無,U+7121
26,1003.0,548.0,54.0,57.0,無,U+7121
26,992.0,349.0,54.0,46.0,焉,U+7109
26,989.0,395.0,78.0,59.0,値,U+5024
26,991.0,482.0,63.0,69.0,理,U+7406
26,733.0,254.0,73.0,42.0,理,U+7406
26,995.0,607.0,68.0,33.0,間,U+9593
26,1015.0,649.0,41.0,27.0,於,U+65BC
26,956.0,623.0,32.0,40.0,於,U+65BC
26,690.0,287.0,41.0,35.0,於,U+65BC
26,350.0,304.0,58.0,34.0,於,U+65BC
26,1004.0,675.0,63.0,35.0,地,U+5730
26,1008.0,710.0,58.0,43.0,家,U+5BB6
26,708.0,539.0,44.0,38.0,家,U+5BB6
26,988.0,802.0,62.0,54.0,師,U+5E2B
26,997.0,861.0,66.0,39.0,孔,U+5B54
26,992.0,900.0,65.0,39.0,聖,U+8056
26,1000.0,974.0,43.0,48.0,花,U+82B1
26,926.0,148.0,60.0,55.0,民,U+6C11
26,700.0,900.0,56.0,40.0,民,U+6C11
26,920.0,201.0,67.0,49.0,舍,U+820D
26,938.0,352.0,45.0,44.0,其,U+5176
26,937.0,662.0,57.0,31.0,上,U+4E0A
26,924.0,800.0,69.0,58.0,揭,U+63ED
26,924.0,852.0,52.0,57.0,玄,U+7384
26,934.0,908.0,63.0,54.0,訓,U+8A13
26,937.0,986.0,48.0,48.0,昭,U+662D
26,759.0,645.0,57.0,44.0,昭,U+662D
26,955.0,1036.0,35.0,52.0,示,U+793A
26,745.0,377.0,74.0,57.0,感,U+611F
26,759.0,550.0,49.0,37.0,明,U+660E
26,757.0,597.0,47.0,25.0,已,U+5DF2
26,763.0,797.0,55.0,51.0,施,U+65BD
26,753.0,848.0,70.0,43.0,實,U+5BE6
26,682.0,220.0,53.0,29.0,作,U+4F5C
26,692.0,325.0,39.0,44.0,爲,U+7232
26,682.0,363.0,63.0,64.0,治,U+6CBB
26,695.0,478.0,53.0,64.0,觀,U+89C0
26,707.0,586.0,43.0,28.0,生,U+751F
26,704.0,640.0,49.0,49.0,後,U+5F8C
26,700.0,698.0,63.0,47.0,敎,U+654E
26,690.0,784.0,55.0,63.0,懷,U+61F7
26,711.0,842.0,35.0,53.0,庶,U+5EB6
26,577.0,172.0,56.0,49.0,堯,U+582F
26,570.0,223.0,61.0,52.0,舜,U+821C
26,577.0,272.0,71.0,59.0,憐,U+6190
26,581.0,356.0,56.0,42.0,祗,U+7957
26,591.0,496.0,49.0,64.0,嗟,U+55DF
26,590.0,562.0,59.0,30.0,世,U+4E16
26,598.0,591.0,56.0,60.0,變,U+8B8A
26,596.0,803.0,68.0,70.0,徒,U+5F92
26,608.0,864.0,38.0,28.0,三,U+4E09
26,497.0,166.0,63.0,64.0,致,U+81F4
26,513.0,491.0,59.0,46.0,昧,U+6627
26,516.0,549.0,58.0,30.0,所,U+6240
26,525.0,582.0,56.0,41.0,好,U+597D
26,530.0,846.0,55.0,39.0,好,U+597D
26,520.0,667.0,67.0,47.0,攸,U+6538
26,549.0,944.0,53.0,35.0,者,U+8005
26,527.0,980.0,77.0,54.0,解,U+89E3
26,556.0,1024.0,52.0,60.0,矣,U+77E3
26,403.0,158.0,56.0,56.0,知,U+77E5
26,424.0,269.0,37.0,52.0,寸,U+5BF8
26,418.0,365.0,49.0,31.0,入,U+5165
26,322.0,163.0,67.0,54.0,深,U+6DF1
26,331.0,260.0,62.0,40.0,望,U+671B
26,351.0,344.0,52.0,39.0,當,U+7576
51,1448.0,253.0,87.0,76.0,願,U+9858
51,1472.0,314.0,56.0,48.0,爲,U+7232
51,1100.0,871.0,49.0,40.0,爲,U+7232
51,922.0,838.0,79.0,55.0,爲,U+7232
51,770.0,515.0,46.0,42.0,爲,U+7232
51,743.0,1004.0,78.0,51.0,爲,U+7232
51,612.0,686.0,47.0,36.0,爲,U+7232
51,459.0,419.0,68.0,72.0,爲,U+7232
51,240.0,537.0,36.0,44.0,爲,U+7232
51,1476.0,436.0,53.0,48.0,故,U+6545
51,1078.0,262.0,70.0,60.0,故,U+6545
51,1089.0,644.0,51.0,45.0,故,U+6545
51,1468.0,484.0,68.0,73.0,仍,U+4ECD
51,1465.0,547.0,72.0,66.0,泰,U+6CF0
51,1477.0,610.0,58.0,25.0,則,U+5247
51,1018.0,329.0,58.0,47.0,則,U+5247
51,1015.0,681.0,55.0,47.0,則,U+5247
51,770.0,330.0,64.0,51.0,則,U+5247
51,1474.0,650.0,67.0,77.0,學,U+5B78
51,1473.0,730.0,54.0,49.0,至,U+81F3
51,1469.0,779.0,62.0,42.0,於,U+65BC
51,1472.0,825.0,56.0,40.0,不,U+F967
51,1377.0,364.0,80.0,56.0,不,U+F967
51,617.0,263.0,35.0,41.0,不,U+F967
51,1464.0,858.0,70.0,53.0,給,U+7D66
51,1463.0,921.0,79.0,52.0,價,U+50F9
51,1385.0,479.0,72.0,54.0,價,U+50F9
51,1162.0,665.0,73.0,53.0,價,U+50F9
51,666.0,607.0,79.0,68.0,價,U+50F9
51,610.0,377.0,76.0,48.0,價,U+50F9
51,1481.0,962.0,38.0,49.0,而,U+800C
51,1407.0,530.0,49.0,42.0,而,U+800C
51,1088.0,792.0,60.0,37.0,而,U+800C
51,913.0,271.0,69.0,63.0,而,U+800C
51,623.0,424.0,45.0,33.0,而,U+800C
51,380.0,784.0,49.0,53.0,而,U+800C
51,319.0,330.0,48.0,42.0,而,U+800C
51,1398.0,265.0,52.0,58.0,束,U+675F
51,1174.0,516.0,57.0,53.0,束,U+675F
51,925.0,338.0,68.0,63.0,束,U+675F
51,673.0,936.0,51.0,59.0,束,U+675F
51,1402.0,317.0,46.0,60.0,之,U+4E4B
51,1425.0,932.0,24.0,37.0,之,U+4E4B
51,1263.0,950.0,25.0,47.0,之,U+4E4B
51,1088.0,399.0,74.0,48.0,之,U+4E4B
51,1109.0,902.0,28.0,42.0,之,U+4E4B
51,930.0,397.0,48.0,75.0,之,U+4E4B
51,784.0,557.0,37.0,61.0,之,U+4E4B
51,676.0,895.0,52.0,52.0,之,U+4E4B
51,690.0,983.0,33.0,66.0,之,U+4E4B
51,472.0,488.0,46.0,105.0,之,U+4E4B
51,338.0,297.0,29.0,47.0,之,U+4E4B
51,319.0,664.0,30.0,44.0,之,U+4E4B
51,230.0,242.0,61.0,60.0,之,U+4E4B
51,1382.0,410.0,68.0,72.0,准,U+51C6
51,607.0,300.0,61.0,65.0,准,U+51C6
51,1379.0,574.0,80.0,64.0,抑,U+6291
51,612.0,459.0,63.0,55.0,抑,U+6291
51,1389.0,631.0,65.0,73.0,買,U+8CB7
51,1168.0,717.0,55.0,64.0,買,U+8CB7
51,605.0,513.0,56.0,64.0,買,U+8CB7
51,1397.0,716.0,55.0,61.0,宜,U+5B9C
51,1407.0,769.0,42.0,52.0,有,U+6709
51,1390.0,821.0,68.0,71.0,保,U+4FDD
51,535.0,368.0,58.0,57.0,保,U+4FDD
51,1388.0,891.0,72.0,48.0,存,U+5B58
51,539.0,425.0,58.0,52.0,存,U+5B58
51,1383.0,962.0,90.0,74.0,道,U+9053
51,1305.0,264.0,77.0,62.0,也,U+4E5F
51,1235.0,268.0,67.0,60.0,領,U+9818
51,1254.0,336.0,67.0,46.0,曰,U+66F0
51,457.0,275.0,68.0,54.0,曰,U+66F0
51,381.0,347.0,63.0,40.0,曰,U+66F0
51,1243.0,382.0,81.0,72.0,風,U+98A8
51,1241.0,454.0,75.0,52.0,俗,U+4FD7
51,1234.0,504.0,77.0,59.0,誤,U+8AA4
51,1249.0,563.0,72.0,81.0,變,U+8B8A
51,1243.0,639.0,84.0,68.0,儒,U+5112
51,1006.0,380.0,51.0,48.0,儒,U+5112
51,1255.0,708.0,55.0,47.0,生,U+751F
51,1014.0,434.0,52.0,50.0,生,U+751F
51,924.0,895.0,79.0,63.0,生,U+751F
51,1246.0,750.0,69.0,57.0,親,U+89AA
51,1171.0,339.0,55.0,54.0,親,U+89AA
51,1228.0,807.0,91.0,58.0,往,U+5F80
51,1254.0,851.0,44.0,77.0,筆,U+7B46
51,1249.0,914.0,64.0,41.0,工,U+5DE5
51,755.0,867.0,49.0,34.0,工,U+5DE5
51,1152.0,268.0,83.0,64.0,家,U+5BB6
51,668.0,796.0,71.0,57.0,家,U+5BB6
51,1186.0,388.0,39.0,59.0,自,U+81EA
51,765.0,618.0,38.0,79.0,自,U+81EA
51,1169.0,442.0,58.0,58.0,監,U+76E3
51,1177.0,576.0,52.0,35.0,以,U+4EE5
51,1168.0,841.0,48.0,40.0,以,U+4EE5
51,938.0,794.0,49.0,41.0,以,U+4EE5
51,735.0,738.0,82.0,55.0,以,U+4EE5
51,546.0,316.0,52.0,41.0,以,U+4EE5
51,246.0,385.0,55.0,38.0,以,U+4EE5
51,1173.0,615.0,51.0,41.0,其,U+5176
51,1183.0,880.0,52.0,43.0,其,U+5176
51,689.0,553.0,46.0,60.0,其,U+5176
51,683.0,747.0,48.0,52.0,其,U+5176
51,1163.0,782.0,73.0,71.0,來,U+4F86
51,1177.0,917.0,58.0,44.0,文,U+6587
51,1164.0,961.0,82.0,52.0,房,U+623F
51,1075.0,321.0,76.0,82.0,待,U+5F85
51,1090.0,447.0,51.0,51.0,若,U+82E5
51,1093.0,498.0,78.0,81.0,友,U+53CB
51,1086.0,561.0,57.0,36.0,如,U+5982
51,216.0,691.0,52.0,149.0,如,U+5982
51,1097.0,600.0,52.0,52.0,此,U+6B64
51,605.0,835.0,49.0,52.0,此,U+6B64
51,1089.0,688.0,62.0,54.0,利,U+5229
51,927.0,671.0,70.0,67.0,利,U+5229
51,1100.0,739.0,47.0,52.0,多,U+591A
51,1091.0,828.0,48.0,45.0,樂,U+F95C
51,1111.0,940.0,43.0,66.0,矣,U+77E3
51,539.0,479.0,56.0,78.0,矣,U+77E3
51,995.0,276.0,55.0,49.0,今,U+4ECA
51,738.0,686.0,75.0,61.0,今,U+4ECA
51,1020.0,482.0,47.0,53.0,得,U+5F97
51,1008.0,538.0,62.0,26.0,一,U+4E00
51,1005.0,571.0,67.0,56.0,黃,U+9EC3
51,1013.0,616.0,54.0,66.0,毛,U+6BDB
51,1013.0,729.0,54.0,38.0,必,U+5FC5
51,1008.0,765.0,75.0,68.0,轉,U+8F49
51,1009.0,829.0,65.0,61.0,請,U+8ACB
51,1012.0,887.0,63.0,55.0,官,U+5B98
51,350.0,990.0,73.0,37.0,官,U+5B98
51,1022.0,941.0,97.0,92.0,員,U+54E1
51,914.0,460.0,76.0,68.0,渠,U+6E20
51,906.0,533.0,90.0,83.0,輩,U+8F29
51,938.0,612.0,61.0,63.0,失,U+5931
51,925.0,712.0,63.0,74.0,無,U+7121
51,588.0,722.0,77.0,60.0,無,U+7121
51,935.0,952.0,83.0,76.0,進,U+9032
51,750.0,258.0,86.0,70.0,排,U+6392
51,754.0,369.0,82.0,72.0,依,U+4F9D
51,437.0,328.0,95.0,90.0,依,U+4F9D
51,770.0,448.0,66.0,72.0,舊,U+820A
51,741.0,793.0,71.0,77.0,後,U+5F8C
51,735.0,915.0,76.0,46.0,曹,U+66F9
51,741.0,946.0,62.0,64.0,獨,U+7368
51,689.0,272.0,60.0,50.0,次,U+6B21
51,694.0,332.0,56.0,46.0,知,U+77E5
51,697.0,371.0,47.0,61.0,各,U+5404
51,688.0,425.0,52.0,74.0,司,U+53F8
51,686.0,496.0,63.0,59.0,送,U+9001
51,696.0,674.0,35.0,65.0,于,U+4E8E
51,669.0,855.0,57.0,50.0,使,U+4F7F
51,591.0,581.0,68.0,48.0,者,U+8005
51,605.0,628.0,49.0,56.0,甚,U+751A
51,597.0,774.0,72.0,61.0,形,U+5F62
51,595.0,887.0,71.0,52.0,亦,U+4EA6
51,613.0,931.0,55.0,51.0,申,U+7533
51,597.0,977.0,74.0,66.0,飭,U+98ED
51,539.0,265.0,45.0,52.0,可,U+53EF
51,454.0,199.0,63.0,68.0,上,U+4E0A
51,384.0,262.0,62.0,79.0,胄,U+80C4
51,376.0,388.0,65.0,52.0,連,U+F99A
51,399.0,445.0,35.0,21.0,日,U+65E5
51,311.0,589.0,46.0,45.0,日,U+65E5
51,369.0,468.0,68.0,61.0,晝,U+665D
51,380.0,538.0,70.0,75.0,講,U+8B1B
51,370.0,592.0,59.0,75.0,事,U+4E8B
51,297.0,865.0,42.0,44.0,事,U+4E8B
51,364.0,677.0,88.0,48.0,下,U+4E0B
51,367.0,726.0,77.0,59.0,命,U+547D
51,369.0,834.0,49.0,37.0,玉,U+7389
51,361.0,866.0,82.0,61.0,堂,U+5802
51,356.0,932.0,66.0,53.0,試,U+8A66
51,305.0,256.0,68.0,46.0,入,U+5165
51,298.0,623.0,51.0,34.0,入,U+5165
51,330.0,378.0,31.0,56.0,夏,U+590F
51,299.0,434.0,63.0,66.0,鎭,U+93AD
51,301.0,495.0,67.0,47.0,十,U+5341
51,303.0,542.0,59.0,49.0,餘,U+9918
51,287.0,713.0,67.0,65.0,改,U+6539
51,295.0,776.0,51.0,55.0,差,U+5DEE
51,287.0,831.0,65.0,38.0,問,U+554F
51,288.0,909.0,51.0,51.0,郞,U+90DE
51,266.0,958.0,93.0,84.0,廳,U+5EF3
51,232.0,304.0,71.0,79.0,任,U+4EFB
51,228.0,433.0,63.0,48.0,他,U+4ED6
51,229.0,478.0,55.0,54.0,人,U+4EBA
51,231.0,650.0,43.0,30.0,何,U+4F55
3,1369.0,191.0,72.0,47.0,而,U+800C
3,921.0,312.0,61.0,41.0,而,U+800C
3,581.0,671.0,66.0,49.0,而,U+800C
3,477.0,199.0,67.0,42.0,而,U+800C
3,358.0,297.0,48.0,58.0,而,U+800C
3,354.0,909.0,56.0,35.0,而,U+800C
3,1370.0,237.0,69.0,44.0,此,U+6B64
3,902.0,775.0,66.0,41.0,此,U+6B64
3,497.0,720.0,78.0,44.0,此,U+6B64
3,1372.0,278.0,69.0,39.0,亦,U+4EA6
3,1137.0,710.0,76.0,37.0,亦,U+4EA6
3,895.0,903.0,61.0,39.0,亦,U+4EA6
3,1374.0,364.0,60.0,41.0,未,U+672A
3,418.0,1001.0,59.0,50.0,未,U+672A
3,1366.0,408.0,78.0,49.0,修,U+4FEE
3,1140.0,321.0,77.0,60.0,修,U+4FEE
3,1122.0,898.0,90.0,66.0,修,U+4FEE
3,1372.0,458.0,80.0,39.0,正,U+6B63
